"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\loading-dots\loading-dots.component.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\loading-dots\loading-dots.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\modal\modal.component.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\modal\modal.component.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\BaseProduct.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 8, 41
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\Cart.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\Category.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\Computer.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\FilterGroup.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\Laptop.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\LoginDetails.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\Movie.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\Order.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\Param.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\Product.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\ProductDetail.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\ProductResponse.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\User.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\model\UserEdit.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\pagination\pagination.component.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 9, 31
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\pagination\pagination.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\pagination\pagination.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\pipes\order-status.pipe.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\product-small\product-small.component.html", "HTML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 14, 57
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\product-small\product-small.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\product-small\product-small.component.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\shared.module.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 2, 42
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\slider\slider.component.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\slider\slider.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\spinner\spinner.component.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\spinner\spinner.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\app\shared\utils\Utils.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\assets\images\star-rating.icons.svg", "XML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 44, 0, 0, 2, 46
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\environments\environment.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 11, 3, 17
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 47, 6, 54
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\styles.scss", "SCSS", 0, 0, 0, 0, 98, 0, 0, 0, 2, 23, 123
"c:\Users\Ja\WebstormProjects\PimpMyPc\src\test.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 4, 4, 28
"c:\Users\Ja\WebstormProjects\PimpMyPc\tailwind.config.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 1, 5, 102
"c:\Users\Ja\WebstormProjects\PimpMyPc\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\Ja\WebstormProjects\PimpMyPc\tsconfig.json", "JSON with Comments", 0, 30, 0, 0, 0, 0, 0, 0, 1, 1, 32
"c:\Users\Ja\WebstormProjects\PimpMyPc\tsconfig.spec.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\Ja\WebstormProjects\PimpMyPc\tslint.json", "JSON", 152, 0, 0, 0, 0, 0, 0, 0, 0, 1, 153
"Total", "-", 25621, 42, 162, 2370, 121, 1609, 64, 2, 150, 868, 31009
